title,season,review_link,year
Pilot,1,https://www.imdb.com/title/tt2169080/reviews,2013
Lawnmower Dog,1,https://www.imdb.com/title/tt3333824/reviews,2013
Anatomy Park,1,https://www.imdb.com/title/tt3333828/reviews,2013
M. Night Shaym-Aliens!,1,https://www.imdb.com/title/tt3333830/reviews,2014
Meeseeks and Destroy,1,https://www.imdb.com/title/tt3333832/reviews,2014
Rick Potion #9,1,https://www.imdb.com/title/tt3333834/reviews,2014
Raising Gazorpazorp,1,https://www.imdb.com/title/tt3333836/reviews,2014
Rixty Minutes,1,https://www.imdb.com/title/tt3333838/reviews,2014
Something Ricked This Way Comes,1,https://www.imdb.com/title/tt3333840/reviews,2014
Close Rick-counters of the Rick Kind,1,https://www.imdb.com/title/tt3333846/reviews,2014
Ricksy Business,1,https://www.imdb.com/title/tt3333854/reviews,2014
A Rickle in Time,2,https://www.imdb.com/title/tt4462494/reviews,2015
Mortynight Run,2,https://www.imdb.com/title/tt4832254/reviews,2015
Auto Erotic Assimilation,2,https://www.imdb.com/title/tt4832260/reviews,2015
Total Rickall,2,https://www.imdb.com/title/tt4832262/reviews,2015
Get Schwifty,2,https://www.imdb.com/title/tt4832266/reviews,2015
The Ricks Must Be Crazy,2,https://www.imdb.com/title/tt4832268/reviews,2015
Big Trouble in Little Sanchez,2,https://www.imdb.com/title/tt4832272/reviews,2015
Interdimensional Cable 2: Tempting Fate,2,https://www.imdb.com/title/tt4832274/reviews,2015
Look Who's Purging Now,2,https://www.imdb.com/title/tt4832276/reviews,2015
The Wedding Squanchers,2,https://www.imdb.com/title/tt4832278/reviews,2015
The Rickshank Rickdemption,3,https://www.imdb.com/title/tt5218228/reviews,2017
Rickmancing the Stone,3,https://www.imdb.com/title/tt5218256/reviews,2017
Pickle Rick,3,https://www.imdb.com/title/tt5218268/reviews,2017
Vindicators 3: The Return of Worldender,3,https://www.imdb.com/title/tt5218288/reviews,2017
The Whirly Dirly Conspiracy,3,https://www.imdb.com/title/tt5218310/reviews,2017
Rest and Ricklaxation,3,https://www.imdb.com/title/tt5218318/reviews,2017
The Ricklantis Mixup,3,https://www.imdb.com/title/tt5218332/reviews,2017
Morty's Mind Blowers,3,https://www.imdb.com/title/tt5218350/reviews,2017
The ABCs of Beth,3,https://www.imdb.com/title/tt5218370/reviews,2017
The Rickchurian Mortydate,3,https://www.imdb.com/title/tt5218386/reviews,2017
Edge of Tomorty: Rick Die Rickpeat,4,https://www.imdb.com/title/tt7446798/reviews,2019
The Old Man and the Seat,4,https://www.imdb.com/title/tt10655676/reviews,2019
One Crew over the Crewcoo's Morty,4,https://www.imdb.com/title/tt10655678/reviews,2019
Claw and Hoarder: Special Ricktim's Morty,4,https://www.imdb.com/title/tt10655680/reviews,2019
Rattlestar Ricklactica,4,https://www.imdb.com/title/tt10655682/reviews,2019
Never Ricking Morty,4,https://www.imdb.com/title/tt10655686/reviews,2020
Promortyus,4,https://www.imdb.com/title/tt10655690/reviews,2020
The Vat of Acid Episode,4,https://www.imdb.com/title/tt10655692/reviews,2020
Childrick of Mort,4,https://www.imdb.com/title/tt10655694/reviews,2020
Star Mort Rickturn of the Jerri,4,https://www.imdb.com/title/tt10655696/reviews,2020
